                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.81048,                0.42597,                 1.0149,                0.98152,                0.96757,                 0.9834,                0.74687,                 0.9502,                0.43988,                 1.2041,              0.0012951,              0.0012951,              0.0012951
                     92,                0.81063,                0.43725,                 1.0115,                0.99358,                0.96216,                0.97409,                0.72679,                0.94651,                0.45957,                 1.1979,              0.0012872,              0.0012872,              0.0012872
                     93,                0.83225,                0.42483,                 1.0217,                0.98592,                0.96216,                  0.974,                0.71492,                0.95361,                0.47326,                 1.2087,              0.0012793,              0.0012793,              0.0012793
                     94,                0.83149,                0.43323,                 1.0271,                0.98029,                0.95676,                0.97709,                0.74199,                 0.9428,                0.48125,                 1.1894,              0.0012714,              0.0012714,              0.0012714
                     95,                0.75986,                0.38921,                 0.9987,                 0.9828,                0.96216,                0.98369,                0.74008,                0.94152,                0.45003,                 1.1788,              0.0012634,              0.0012634,              0.0012634
                     96,                0.81726,                0.44808,                 1.0095,                0.98342,                0.96211,                0.98056,                0.72741,                0.93564,                 0.4444,                 1.1883,              0.0012555,              0.0012555,              0.0012555
                     97,                0.79392,                0.41441,                 1.0005,                  0.976,                0.96216,                0.97212,                0.71633,                0.96233,                0.45084,                 1.2022,              0.0012476,              0.0012476,              0.0012476
                     98,                0.79438,                0.42659,                 1.0107,                0.98293,                0.96757,                0.98107,                0.73688,                0.95814,                0.44128,                  1.209,              0.0012397,              0.0012397,              0.0012397
                     99,                0.81586,                0.43475,                  1.029,                 0.9836,                0.97235,                0.98452,                0.74185,                0.96259,                0.43919,                 1.2152,              0.0012318,              0.0012318,              0.0012318
                    100,                 0.8133,                0.43589,                 1.0176,                 0.9778,                0.97297,                0.98504,                0.73727,                0.96244,                0.43102,                 1.2071,              0.0012238,              0.0012238,              0.0012238
                    101,                0.81388,                0.41474,                 1.0088,                0.98859,                0.96216,                0.98566,                0.75818,                0.92384,                 0.4289,                 1.1907,              0.0012159,              0.0012159,              0.0012159
                    102,                0.77079,                0.40357,                 1.0075,                0.98898,                0.97061,                0.98208,                0.76031,                0.93667,                0.42317,                 1.1901,               0.001208,               0.001208,               0.001208
                    103,                0.78424,                0.40911,                 1.0151,                0.96764,                0.96994,                0.98148,                0.75232,                0.95455,                0.44145,                 1.2095,              0.0012001,              0.0012001,              0.0012001
                    104,                0.77187,                0.40643,                0.99547,                0.97611,                0.96216,                0.98299,                0.73931,                 0.9268,                0.42331,                 1.1821,              0.0011922,              0.0011922,              0.0011922
                    105,                0.78716,                 0.4056,                0.99498,                0.98882,                0.95646,                0.96946,                0.72977,                0.95698,                0.47659,                 1.2169,              0.0011842,              0.0011842,              0.0011842
                    106,                0.76702,                0.39665,                0.99225,                0.97766,                0.96216,                0.98569,                0.75297,                0.94553,                0.41871,                 1.1944,              0.0011763,              0.0011763,              0.0011763
                    107,                0.77164,                0.40354,                 1.0026,                0.98824,                0.96216,                0.97713,                0.73439,                0.97261,                0.46204,                 1.1989,              0.0011684,              0.0011684,              0.0011684
                    108,                0.78707,                0.40272,                0.99825,                0.96748,                0.94595,                0.97361,                0.73675,                0.95645,                0.45695,                 1.1976,              0.0011605,              0.0011605,              0.0011605
                    109,                0.78198,                0.41279,                 1.0043,                0.98351,                0.96692,                0.97792,                0.74862,                0.93129,                0.43886,                 1.1756,              0.0011526,              0.0011526,              0.0011526
                    110,                0.75557,                0.40801,                0.98148,                0.98272,                0.95676,                0.98194,                0.73754,                 0.9642,                0.45004,                 1.2048,              0.0011446,              0.0011446,              0.0011446
                    111,                0.75022,                0.38401,                0.99314,                0.99434,                0.94927,                0.97922,                0.74283,                0.96581,                0.45583,                 1.1988,              0.0011367,              0.0011367,              0.0011367
                    112,                0.75878,                0.39598,                0.99708,                0.99443,                0.96508,                0.98134,                0.75531,                0.94931,                0.41954,                 1.1999,              0.0011288,              0.0011288,              0.0011288
                    113,                0.74692,                0.38796,                 1.0016,                 0.9917,                0.94595,                0.98102,                0.75421,                0.95309,                0.42289,                 1.2118,              0.0011209,              0.0011209,              0.0011209
                    114,                0.77062,                0.39701,                 1.0003,                0.98748,                0.96216,                0.97953,                0.74326,                0.94016,                0.40846,                 1.1887,               0.001113,               0.001113,               0.001113
                    115,                0.75032,                 0.3862,                0.99683,                0.97266,                0.96141,                0.97444,                0.74427,                 0.9458,                0.44186,                 1.2066,               0.001105,               0.001105,               0.001105
                    116,                0.77473,                0.39478,                  1.006,                0.97706,                0.96216,                 0.9753,                 0.7468,                0.96287,                0.44204,                 1.2044,              0.0010971,              0.0010971,              0.0010971
                    117,                0.74584,                0.39825,                0.98402,                0.99438,                0.95671,                0.98112,                0.72811,                0.96044,                0.41351,                  1.217,              0.0010892,              0.0010892,              0.0010892
                    118,                0.76164,                0.39803,                0.98583,                0.97726,                0.96216,                0.98036,                 0.7545,                0.92887,                0.44537,                 1.2019,              0.0010813,              0.0010813,              0.0010813
                    119,                 0.7457,                0.40792,                0.98342,                0.98999,                0.95676,                0.97827,                0.73769,                0.96008,                0.45212,                 1.2184,              0.0010734,              0.0010734,              0.0010734
                    120,                0.75053,                0.39471,                0.99057,                0.98534,                0.94595,                0.97705,                0.74216,                0.92905,                0.43068,                 1.1981,              0.0010654,              0.0010654,              0.0010654
                    121,                0.73528,                0.39055,                0.98513,                0.98882,                0.95624,                0.97708,                0.73266,                0.95934,                0.44365,                 1.2074,              0.0010575,              0.0010575,              0.0010575
                    122,                0.71997,                0.37764,                0.99151,                0.98187,                0.96757,                0.97742,                0.74179,                0.92409,                0.40649,                 1.1907,              0.0010496,              0.0010496,              0.0010496
                    123,                0.73779,                0.39765,                0.98713,                0.98214,                0.97297,                0.97918,                0.75964,                0.90823,                0.41992,                 1.1765,              0.0010417,              0.0010417,              0.0010417
                    124,                0.75437,                0.39165,                0.99275,                 0.9887,                0.94582,                 0.9772,                0.73827,                0.93889,                  0.439,                 1.1808,              0.0010338,              0.0010338,              0.0010338
                    125,                0.72528,                0.38788,                0.97332,                0.98886,                0.95976,                0.97986,                 0.7462,                0.92266,                0.42378,                 1.1892,              0.0010258,              0.0010258,              0.0010258
                    126,                 0.7331,                0.37553,                0.97323,                0.98895,                0.96741,                0.98516,                0.73871,                0.95782,                0.40852,                 1.2167,              0.0010179,              0.0010179,              0.0010179
                    127,                0.73318,                0.38647,                0.98087,                0.98881,                0.95515,                0.98494,                0.74455,                0.95895,                0.43397,                 1.2107,                0.00101,                0.00101,                0.00101
                    128,                0.71521,                0.36683,                0.97252,                0.98341,                0.96151,                0.98161,                0.74412,                0.91329,                0.43323,                 1.1916,              0.0010021,              0.0010021,              0.0010021
                    129,                0.71825,                0.38825,                0.97198,                0.98818,                0.96216,                0.97668,                0.74828,                0.92153,                 0.4306,                 1.1826,             0.00099416,             0.00099416,             0.00099416
                    130,                0.72291,                0.37897,                0.98066,                0.99189,                0.96216,                0.97943,                0.74133,                0.97559,                0.44316,                 1.2394,             0.00098624,             0.00098624,             0.00098624
                    131,                0.72038,                0.38078,                0.98133,                0.98339,                 0.9603,                0.97593,                0.73536,                0.93501,                0.43513,                 1.2146,             0.00097832,             0.00097832,             0.00097832
                    132,                0.72893,                0.38167,                0.97624,                0.98887,                0.96032,                0.97703,                0.74378,                0.91657,                0.42745,                 1.1947,              0.0009704,              0.0009704,              0.0009704
                    133,                0.70249,                0.37686,                0.97937,                0.97758,                0.96216,                  0.979,                0.74564,                0.93549,                0.43153,                 1.2106,             0.00096248,             0.00096248,             0.00096248
                    134,                0.70949,                0.38369,                0.98252,                0.98878,                0.95295,                0.97816,                0.73994,                 0.9208,                0.40063,                 1.2061,             0.00095456,             0.00095456,             0.00095456
                    135,                0.72118,                0.39298,                0.97558,                0.97322,                0.95135,                0.97716,                0.73269,                0.93374,                0.42952,                 1.2043,             0.00094664,             0.00094664,             0.00094664
                    136,                0.71539,                0.37324,                0.97667,                0.98148,                0.96757,                0.97733,                0.73724,                0.96371,                0.41959,                 1.2148,             0.00093872,             0.00093872,             0.00093872
